m1_prod_P1;m1_prod_P2;m1_prod_P3;m1_prod_P4;m2_prod_P1;m2_prod_P2;m2_prod_P3;m2_prod_P4;m3_prod_P1;m3_prod_P2;m3_prod_P3;m3_prod_P4;m1_stock_P1;m1_stock_P2;m1_stock_P3;m1_stock_P4;m2_stock_P1;m2_stock_P2;m2_stock_P3;m2_stock_P4;m3_stock_P1;m3_stock_P2;m3_stock_P3;m3_stock_P4;asAvgProfit;avgProfit;asMaxRisk;maxRisk;objective
172;0;25;172;0;0;0;0;0;338;0;338;0;0;0;0;0;0;0;0;50;50;50;50;11920;7287.23;320;1446.51;-0.2370596057548878
181;0;26;181;0;0;0;0;0;360;0;360;0;0;0;0;0;0;0;0;50;50;50;50;12728;7737.96;320;1533.25;-0.2553126077362115
187;0;24;187;0;0;1;0;0;384;4;384;0;0;0;0;0;0;0;0;50;50;50;50;13536;8188.01;320;1620.34;-0.2736395644504506
209;0;29;209;0;0;0;0;0;393;0;393;0;0;0;0;0;0;0;0;50;50;50;50;14344;8636.46;320;1707.6;-0.2920199300608223
233;0;29;233;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15152;9085.68;320;1795.22;-0.3104398849895272
264;0;30;264;0;0;0;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;15960;9530.79;320;1883.17;-0.3289490736785364
299;0;28;299;0;0;1;0;0;395;0;395;0;0;0;0;0;0;0;0;50;50;50;50;16768;9976.96;320;1970.96;-0.3474556654118629
300;0;74;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;17576;10393.1;320;2067.66;-0.3677713431258667
300;0;129;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;10797.1;320;2165.91;-0.388448085184334
300;0;177;300;0;0;1;0;0;400;6;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;11201.1;320;2264.17;-0.4091248272428013
300;0;0;300;0;0;0;0;0;400;239;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;11605.2;320;2362.43;-0.4298015693012685
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;640;2.813749233609997e-012;6.733298264071542e-010
47;0;46;47;0;0;0;0;0;62;0;62;0;0;0;0;0;0;0;0;50;50;50;50;608;1702.88;640;383.607;5.395448596735079e-006
79;0;73;79;0;0;0;0;0;30;0;30;0;0;0;0;0;0;0;0;50;50;50;50;1416;1913.7;640;521.218;2.499620698515928e-006
76;0;31;76;0;0;0;0;0;102;0;102;0;0;0;0;0;0;0;0;50;50;50;50;2224;2583.05;640;547.49;1.837047252048609e-006
96;0;43;96;0;0;0;0;0;107;0;107;0;0;0;0;0;0;0;0;50;50;50;50;3032;3033.73;640;639.7;8.873725378535254e-009
83;0;13;83;0;0;0;0;0;170;0;170;0;0;0;0;0;0;0;0;50;50;50;50;3840;3517.74;640;718.239;-0.01648795800440838
93;0;14;93;0;0;0;0;0;191;0;191;0;0;0;0;0;0;0;0;50;50;50;50;4648;3968.85;640;805.156;-0.03475480834012902
105;0;15;105;0;0;0;0;0;210;0;210;0;0;0;0;0;0;0;0;50;50;50;50;5456;4420.75;640;892.439;-0.05312240541758888
121;0;17;121;0;0;0;0;0;224;0;224;0;0;0;0;0;0;0;0;50;50;50;50;6264;4867.35;640;979.506;-0.07145777761338734
131;0;18;131;0;0;0;0;0;245;0;245;0;0;0;0;0;0;0;0;50;50;50;50;7072;5318.47;640;1066.42;-0.08973492730523471
136;0;15;136;0;0;1;0;0;270;5;270;0;0;0;0;0;0;0;0;50;50;50;50;7880;5768.13;640;1153.34;-0.1080513443138504
146;0;22;146;0;0;0;0;0;291;0;291;0;0;0;0;0;0;0;0;50;50;50;50;8688;6219.24;640;1240.25;-0.1263148860007975
155;0;23;155;0;0;0;0;0;313;0;313;0;0;0;0;0;0;0;0;50;50;50;50;9496;6669.97;640;1326.99;-0.1445908415253543
164;0;0;164;0;0;12;0;0;335;12;335;0;0;0;0;0;0;0;0;50;50;50;50;10304;7120.69;640;1413.73;-0.1628705647638577
172;0;26;172;0;0;0;0;0;357;1;357;0;0;0;0;0;0;0;0;50;50;50;50;11112;7571.52;640;1501.17;-0.1812225697454691
182;0;28;182;0;0;0;0;0;378;0;378;0;0;0;0;0;0;0;0;50;50;50;50;11920;8022.63;640;1588.09;-0.1995129332606853
192;0;29;192;0;0;0;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;12728;8473.75;640;1675.01;-0.2178032967759014
221;0;30;221;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;13536;8918.08;640;1762.61;-0.2362707067703115
257;0;29;257;0;0;0;0;0;395;0;395;0;0;0;0;0;0;0;0;50;50;50;50;14344;9364.64;640;1850.57;-0.2547634386143425
289;0;30;289;0;0;0;0;0;393;0;393;0;0;0;0;0;0;0;0;50;50;50;50;15152;9810.14;640;1938.7;-0.273310239947333
299;0;55;299;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15960;10238.9;640;2030.85;-0.2927131054458107
299;0;109;299;0;0;0;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;16768;10642.9;640;2129.11;-0.3133813724056367
299;0;164;299;0;0;0;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;17576;11047;640;2227.36;-0.334049639365463
299;0;200;299;0;0;20;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;11451;640;2325.62;-0.3547179063252893
300;0;200;300;0;0;73;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;11854.9;640;2423.17;-0.3753919515926665
300;0;0;300;0;0;8;0;0;400;320;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;12259;640;2521.42;-0.3960602185524931
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;960;2.813749233609997e-012;1.009994739610731e-009
81;0;85;81;0;0;0;0;0;37;0;37;0;0;0;0;0;0;0;0;50;50;50;50;608;2130.34;960;580.694;7.788880445275188e-006
43;0;0;43;0;0;117;0;0;97;0;97;0;0;0;0;0;0;0;0;50;50;50;50;1416;2662.76;960;662.685;6.378895612143305e-006
49;0;140;49;0;0;0;0;0;102;0;102;0;0;0;0;0;0;0;0;50;50;50;50;2224;2990.14;960;775.393;3.919875648044319e-006
57;0;155;57;0;0;0;0;0;115;0;115;0;0;0;0;0;0;0;0;50;50;50;50;3032;3401.43;960;867.117;1.890136931162073e-006
67;0;168;67;0;0;0;0;0;129;0;129;0;0;0;0;0;0;0;0;50;50;50;50;3840;3841.37;960;956.594;7.166208459686203e-008
127;0;70;127;0;0;0;0;0;175;0;175;0;0;0;0;0;0;0;0;50;50;50;50;4648;4648.9;960;959.635;4.619699328610728e-009
120;0;18;120;0;0;1;0;0;244;0;244;0;0;0;0;0;0;0;0;50;50;50;50;5456;5151.25;960;1033.99;-0.01559207538736083
130;0;20;130;0;0;0;0;0;265;0;265;0;0;0;0;0;0;0;0;50;50;50;50;6264;5602.36;960;1120.91;-0.03386052976192364
139;0;19;139;0;0;2;0;0;287;0;287;0;0;0;0;0;0;0;0;50;50;50;50;7072;6053.09;960;1207.64;-0.0521315725988647
149;0;20;149;0;0;1;0;0;308;1;308;0;0;0;0;0;0;0;0;50;50;50;50;7880;6504.2;960;1294.56;-0.0704038952584635
168;0;24;168;0;0;0;0;0;319;0;319;0;0;0;0;0;0;0;0;50;50;50;50;8688;6951.98;960;1382.17;-0.08884064872702935
177;0;25;177;0;0;0;0;0;341;0;341;0;0;0;0;0;0;0;0;50;50;50;50;9496;7402.7;960;1468.91;-0.1071013922078435
186;0;0;186;0;0;0;0;0;363;26;363;0;0;0;0;0;0;0;0;50;50;50;50;10304;7853.42;960;1555.65;-0.1253811154463469
192;0;29;192;0;0;0;0;0;387;0;387;0;0;0;0;0;0;0;0;50;50;50;50;11112;8303.48;960;1642.74;-0.1436949589083063
215;0;29;215;0;0;0;0;0;395;0;395;0;0;0;0;0;0;0;0;50;50;50;50;11920;8752.31;960;1730.18;-0.1620737696734587
241;0;29;241;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;12728;9202.32;960;1818.15;-0.1805860145446842
271;0;30;271;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;13536;9647.04;960;1905.93;-0.1990578416997866
300;0;33;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;14344;10091.9;960;1994.41;-0.2176783466555946
300;0;88;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15152;10495.9;960;2092.67;-0.2383550887140618
300;0;143;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15960;10899.9;960;2190.93;-0.2590318307725291
300;0;198;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;16768;11304;960;2289.18;-0.2797085728309963
300;0;200;300;0;0;53;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;17576;11708;960;2387.44;-0.3003853148894635
300;0;200;300;0;0;108;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;12112.1;960;2485.69;-0.3210620569479308
300;0;200;300;0;0;163;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;12516.1;960;2583.95;-0.3417387990063981
300;0;0;300;0;0;0;0;0;400;401;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;12795.3;960;2712.89;-0.3688729687074343
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;1280;2.813749233609997e-012;1.346659652814308e-009
102;0;42;102;0;0;0;0;0;108;0;108;0;0;0;0;0;0;0;0;50;50;50;50;608;3128.05;1280;657.801;1.28936e-005
105;0;103;105;0;0;0;0;0;103;1;103;0;0;0;0;0;0;0;0;50;50;50;50;1416;3556.3;1280;771.985;1.06905e-005
48;0;128;48;0;0;0;0;0;94;0;94;0;0;0;0;0;0;0;0;50;50;50;50;2224;2773.9;1280;717.648;2.813926592800808e-006
75;0;175;75;0;0;0;0;0;138;0;138;0;0;0;0;0;0;0;0;50;50;50;50;3032;4137.13;1280;1012.59;5.627336877524652e-006
222;0;0;222;0;0;0;0;0;116;35;116;0;0;0;0;0;0;0;0;50;50;50;50;3840;4939.65;1280;1010.77;5.626220180453631e-006
103;0;0;103;0;0;0;0;0;171;190;171;0;0;0;0;0;0;0;0;50;50;50;50;4648;5123.78;1280;1171.17;2.434278705673069e-006
127;0;198;127;0;0;0;0;0;170;0;170;0;0;0;0;0;0;0;0;50;50;50;50;5456;5518.26;1280;1263.76;3.185620668189437e-007
230;0;78;230;0;0;0;0;0;179;0;179;0;0;0;0;0;0;0;0;50;50;50;50;6264;6266.09;1280;1279.92;1.067251034177001e-008
161;0;23;161;0;0;0;0;0;315;0;315;0;0;0;0;0;0;0;0;50;50;50;50;7072;6785.82;1280;1349.57;-0.01464212328135391
171;0;24;171;0;0;0;0;0;336;0;336;0;0;0;0;0;0;0;0;50;50;50;50;7880;7236.93;1280;1436.57;-0.03294851172242133
176;0;27;176;0;0;0;0;0;361;0;361;0;0;0;0;0;0;0;0;50;50;50;50;8688;7686.6;1280;1523.4;-0.05123568998181702
186;0;27;186;0;0;1;0;0;382;0;382;0;0;0;0;0;0;0;0;50;50;50;50;9496;8137.71;1280;1610.31;-0.06950961668025804
208;0;26;208;0;0;1;0;0;391;1;391;0;0;0;0;0;0;0;0;50;50;50;50;10304;8586.15;1280;1697.66;-0.08789166708692339
229;0;30;229;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;11112;9034.71;1280;1785.54;-0.1063838919522592
263;0;28;263;0;0;1;0;0;397;0;397;0;0;0;0;0;0;0;0;50;50;50;50;11920;9480.49;1280;1873.14;-0.1248191259083438
295;0;30;295;0;0;0;0;0;395;0;395;0;0;0;0;0;0;0;0;50;50;50;50;12728;9925.99;1280;1961.28;-0.1433656761312364
300;0;69;300;0;0;0;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;13536;10342.1;1280;2056.04;-0.1634099517190116
300;0;124;300;0;0;0;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;14344;10746.2;1280;2154.29;-0.1840782186788379
300;0;178;300;0;0;0;0;0;399;1;399;0;0;0;0;0;0;0;0;50;50;50;50;15152;11150.2;1280;2252.55;-0.2047464856386642
300;0;200;300;0;0;34;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;15960;11554.3;1280;2350.81;-0.2254147525984903
300;0;200;300;0;0;89;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;16768;11958.3;1280;2449.06;-0.2460830195583165
300;0;200;300;0;0;144;0;0;399;0;399;0;0;0;0;0;0;0;0;50;50;50;50;17576;12362.3;1280;2547.32;-0.2667512865181428
300;0;198;300;0;0;189;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;12699.8;1280;2660.07;-0.2908279864906224
300;0;200;300;0;0;222;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;12949.5;1280;2798.22;-0.3194896671333443
300;0;0;300;0;0;0;0;0;400;455;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;13191.9;1280;2932.31;-0.3483263589661611
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;1600;2.813749233609997e-012;1.683324566017886e-009
111;0;140;111;0;0;6;0;0;130;1;130;0;0;0;0;0;0;0;0;50;50;50;50;608;4342.77;1600;983.694;1.29696e-005
67;0;0;67;0;0;173;0;0;133;0;133;0;0;0;0;0;0;0;0;50;50;50;50;1416;3934.86;1600;980.135;1.28874e-005
76;0;188;76;0;0;0;0;0;146;0;146;0;0;0;0;0;0;0;0;50;50;50;50;2224;4360.72;1600;1074.4;1.09323e-005
100;0;0;100;0;0;0;0;0;161;186;161;0;0;0;0;0;0;0;0;50;50;50;50;3032;4908.77;1600;1139.25;9.602273658105222e-006
116;0;0;116;0;0;0;0;0;183;189;183;0;0;0;0;0;0;0;0;50;50;50;50;3840;5476.24;1600;1209.76;8.212063778047958e-006
186;0;0;186;0;0;83;0;0;211;0;211;0;0;0;0;0;0;0;0;50;50;50;50;4648;6115.39;1600;1248.78;7.391062173517242e-006
202;0;0;202;0;0;0;0;0;125;209;125;0;0;0;0;0;0;0;0;50;50;50;50;5456;6053.99;1600;1462.44;2.894706972117681e-006
189;0;0;189;0;0;158;0;0;226;0;226;0;0;0;0;0;0;0;0;50;50;50;50;6264;6922.92;1600;1431.69;3.371319003801138e-006
260;0;132;260;0;0;0;0;0;201;0;201;0;0;0;0;0;0;0;0;50;50;50;50;7072;7412.32;1600;1521.54;1.651132123036679e-006
300;0;92;300;0;0;0;0;0;214;0;214;0;0;0;0;0;0;0;0;50;50;50;50;7880;7886.1;1600;1599.69;3.120213721651379e-008
198;0;29;198;0;0;0;0;0;389;0;389;0;0;0;0;0;0;0;0;50;50;50;50;8688;8419.33;1600;1665.32;-0.0137462406643062
220;0;29;220;0;0;0;0;0;398;0;398;0;0;0;0;0;0;0;0;50;50;50;50;9496;8867.77;1600;1752.58;-0.03214244283832528
252;0;28;252;0;0;1;0;0;396;1;396;0;0;0;0;0;0;0;0;50;50;50;50;10304;9313.28;1600;1840.71;-0.05068924417131541
288;0;29;288;0;0;0;0;0;391;0;391;0;0;0;0;0;0;0;0;50;50;50;50;11112;9759.84;1600;1928.67;-0.06918197601534645
300;0;47;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;11920;10194.7;1600;2019.42;-0.08827203388797536
300;0;102;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;12728;10598.8;1600;2117.68;-0.1089403008478016
300;0;157;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;13536;11002.8;1600;2215.94;-0.1296155763607242
300;0;200;300;0;0;12;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;14344;11406.8;1600;2314.19;-0.1502923184191914
300;0;200;300;0;0;67;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15152;11810.9;1600;2412.45;-0.1709690604776586
300;0;200;300;0;0;122;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;15960;12214.9;1600;2510.71;-0.1916458025361261
300;0;200;300;0;0;175;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;16768;12611.6;1600;2611.31;-0.2128168665303104
300;0;200;300;0;0;209;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;17576;12854;1600;2745.4;-0.241594582497413
300;0;200;300;0;0;243;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;13103.8;1600;2883.55;-0.2701558710186103
300;0;198;300;0;0;277;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;13346.2;1600;3017.64;-0.2990929549729509
300;0;0;300;0;0;0;0;0;400;510;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;13596;1600;3155.79;-0.3276542434941489
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;1920;2.813749233609997e-012;2.019989479221463e-009
147;0;194;147;0;0;0;0;0;3;0;3;0;0;0;0;0;200;0;200;50;50;50;50;608;5848.71;1920;1324.84;1.2525e-005
92;0;0;92;0;0;0;0;0;89;234;89;0;0;0;0;0;0;0;0;50;50;50;50;1416;4123.12;1920;1255.95;1.39741e-005
112;0;0;112;0;0;0;0;0;178;184;178;0;0;0;0;0;0;0;0;50;50;50;50;2224;5310.24;1920;1175.27;1.56719e-005
30;0;81;30;0;0;0;0;0;239;0;239;0;0;0;0;0;0;0;0;50;50;50;50;3032;4223.64;1920;991.673;6.099558325716644e-006
101;0;200;101;0;0;103;0;0;120;0;120;0;0;0;0;0;0;0;0;50;50;50;50;3840;5201.09;1920;1584.14;6.963852823263673e-006
190;0;0;190;0;0;85;0;0;216;1;216;0;0;0;0;0;0;0;0;50;50;50;50;4648;6266.69;1920;1279.04;8.282097577096579e-006
234;0;0;234;0;0;114;0;0;227;0;227;0;0;0;0;0;0;0;0;50;50;50;50;5456;7269.95;1920;1484.76;9.158946138101855e-006
290;0;0;290;0;0;0;0;0;167;169;167;0;0;0;0;0;0;0;0;50;50;50;50;6264;7639.07;1920;1582.21;7.03537162053073e-006
281;0;137;281;0;0;0;0;0;230;0;230;0;0;0;0;0;0;0;0;50;50;50;50;7072;8166.7;1920;1668.64;5.28952104792014e-006
295;0;144;295;0;0;0;0;0;244;0;244;0;0;0;0;0;0;0;0;50;50;50;50;7880;8620.88;1920;1758.92;3.389728282463682e-006
298;0;185;298;0;0;0;0;0;271;0;271;0;0;0;0;0;0;0;0;50;50;50;50;8688;9348.92;1920;1913.36;1.398089633610773e-007
299;0;125;299;0;0;0;0;0;312;0;312;0;0;0;0;0;0;0;0;50;50;50;50;9496;9504.49;1920;1919.28;4.341985357850401e-008
300;0;30;300;0;0;0;0;0;398;0;398;0;0;0;0;0;0;0;0;50;50;50;50;10304;10041.5;1920;1983.68;-0.01343275272483559
300;0;82;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;11112;10451.8;1920;2081.95;-0.03408028766025853
300;0;137;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;11920;10855.9;1920;2180.21;-0.05475702971872583
300;0;192;300;0;0;0;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;12728;11259.9;1920;2278.46;-0.07543377177719307
300;0;200;300;0;0;49;0;0;398;1;398;0;0;0;0;0;0;0;0;50;50;50;50;13536;11657.6;1920;2376.7;-0.09610668931857069
300;0;200;300;0;0;102;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;14344;12068;1920;2474.98;-0.1167872558941276
300;0;200;300;0;0;160;0;0;398;0;398;0;0;0;0;0;0;0;0;50;50;50;50;15152;12465.7;1920;2573.21;-0.1374601734355052
300;0;200;300;0;0;196;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;15960;12765.9;1920;2696.64;-0.1634335649562205
300;0;199;300;0;0;230;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;16768;13008.3;1920;2830.73;-0.1923611785042034
300;0;200;300;0;0;264;0;0;400;0;400;0;0;0;0;0;0;0;0;50;50;50;50;17576;13258.1;1920;2968.88;-0.2209224670254008
300;0;200;300;0;0;297;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;18384;13507.8;1920;3107.03;-0.2497953162265192
300;0;198;300;0;0;332;0;0;400;1;400;0;0;0;0;0;0;0;0;50;50;50;50;19192;13750.3;1920;3241.12;-0.2784208395009387
300;0;17;300;0;0;0;0;0;400;548;400;0;0;0;0;0;0;0;0;50;50;50;50;20000;14000;1920;3379.27;-0.307084815255463
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;50;50;50;-200;-199.9999999999972;2240;2.813749233609997e-012;2.35665439242504e-009
